text,label
when i was stopped by plain clothes policemen because the car i was driving had overturned on the avenue i had been driving too fast and i was afraid when i was stopped questionned and then toild to go the situation ended happily since there were no consequences,Fear
the editor changed the heading of an article that i had written he considered the heading to be derogatory towards the person i had written about,Angry
a close acquaintance of the family died of lung cancer although it was expected i still felt depressed,Sad
when i saw a picture in the gothenburg post of a totally demolished car with two fatally injured passengers the car was so badly damaged that they couldnt get the bodies out at the scene of the accident,Disgust
one night i had a sexual intercourse with another man my sexual desire and my curiosity had made me jump into bed with him i am ashamed of myself now,Sad
due to laziness i failed the term studies completely at university i also wanted to some extent to protest against my parents expectations,Sad
when i got the loan for my studies,Happy
i met intoxicated people with dubious intentions in a back alley one wednesday night,Fear
on the tv i saw a news feature on south africa a policeman attacked a group of black people with a whip,Angry
the thought of having to read a boring book of pages in english,Sad
grovelling people,Disgust
my inability to assert myself positively in a group,Sad
i experience feelings of guilt because i do not study enough,Sad
observing someone in the cafeteria noisily gulping in his food having extremely bad manners,Disgust
i guess i have often been ashamed after having talked badly of other people,Sad
having been angry and unpleasant towards my parents,Sad
when my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy,Happy
when my sister had the still born child she was emotionally very deep down and it took her a long time to recover,Fear
we were starting a student project and the teacher we talked to was very negative and not very helpful,Angry
when my boyfriend openly let me down preferring another girl,Sad
i felt some disgust for my boyfriend for a time after he had left me,Disgust
cant think of any,Sad
before an accident my aunt offered me the front seat of the car next to the driver i declined she took that seat and was killed there when the car crashed,Sad
unexpected visit by a close friend whom i hadnt seen for half a year,Happy
i wandered by mistake into the safety zone of a shooting range and was shot at,Fear
being treated unfairly,Angry
breaking up with a girl,Sad
nothing,Disgust
none,Sad
little contact with my father before he died,Sad
when i was accepted as a student at the college not having thought it possible,Happy
when i was the first to arrive at the scene after an accident and found that a close school friend had been killed,Fear
i was accused of having done something which i hadnt and got very angry,Angry
when my grandmother died,Sad
not applicable,Disgust
a couple of years ago during the summer holiday i was fishing at a lake with my husband suddenly it started raining while the sun was still shining i experienced a feeling of joy happiness and fulfillment the whole nature was full of music,Happy
i was alone at home in bed reading a womens magazine in which there were storiees of paranormal experiences my leg was itching and i stretched my hand to scratch and i felt another strange hand later i realized that it was the corner of the blanket,Fear
i went to a lecture and once again it had been cancelled this was the second time one had a negative attitude towards the lecturer,Angry
i heard that a former superior of mine had died i was later at home home reading about it in the newspaper and i thought of our interaction and how it was no longer possible the limited scope of human life is sad,Sad
in the tram there was a fat sickly looking woman in front of me who was asking for directions in a thick voice when she got up to go a disgusting smell of urine came from her i felt that i would choke,Disgust
when we were at home my husband and i he made a remark about something i had done in a perfectly friendly manner my deed had been unjust and i knew that my husband was right therefore my sense of shame,Sad
i made a remark to my sister concerning her attitude to men the way she talked and i compared her to an acquaintance of mine later the same evening my sister looked sad i felt guilty about her sadness,Sad
i had a summer job in sweden and my boyfriend came to meet me on my birthday,Happy
i went to practice in sweden during summer and i was afraid that i would not do well,Fear
in the holiday cottage of our association two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest,Angry
my grandmother died suddenly last summer,Sad
my superior at the summer job swindled customers as much as he could and once put me in a difficult situation after which i could not but detest him,Disgust
once i arrived two hours late to my work place a bank and i was still feeling feeble and tired,Sad
our association had polish visitors and when they were going back by boat i did not go to see them off i am the chairman of the association,Sad
i was told quite unexpectedly that one wanted me to become the vicechairman of our student organisation i was really surprised and joy was the first emotion i felt though behind it there was worry how shall i succeed,Happy
our tutorial group was soon to be divided and we got a list of names of freshmen out of which five were to be in my group we read the names and then each group went its own way to a seminar room i wondered how i would cope with the new situation and if i would succeed as a group leader,Fear
we were in a disco and the evening was not at all pleasant despite my not knowing why i was angry with my companion i let him feel my bad humour as i cannot hide my feelings,Angry
my grandmother died and my mother called me one sunday morning in the autumn the way my mother told me about it i hated her at that moment she sounded as if she had been waiting for the death of my grandmother i had lost a person close to me i felt guilty too as i had been bad to my grandmother of late i had not remained calm when she no longer understood everything so well,Sad
at the underground station a drunkard came to speak to me he tried to ask me something but i did not answer so he began to speak about me with his companion i detested this dirty growling man,Disgust
i was worried by a task related to my studies which had to be done in groups of two i was talking about it to my friends when i said something negative in too abrupt a manner concerning my work partner i did not quite mean what i said and i felt ashamed at having been mean enough to criticize him as he is also a friend of mine,Sad
i had told my boyfriend that i did not want to go on with our relationship i knew that i was important to him but i wanted to be free i saw that this was difficult for him but i remained firm and did not change my mind,Sad
last night i had a chat with a fellow student i had known her for about half a year and for the first time we were speaking the same language meaning an inspiring discussion and encounter,Happy
i sometimes quarrel with my mother because she blames me though i have not in any way been connected to some events,Angry
after hearing about the death of my grandfather first i could not believe it but later i wept and felt the situation was hopeless i felt lonely and wanted to be consolated,Sad
in the evening while i was watching tv my little brother came in and started eating food he had brought from the kitchen while i was trying to concentrate on the program,Disgust
my little brother was arrested by the police at the railway station after he had drunk some beer,Sad
at my temporary job i have to restrict others actions and make them obey me and this very often gives me a feeling of guilt i wish there could be some other way of acting,Sad
i met a dear friend of mine after a long time i expressed my feelings in our own usual way by mutual scolding and abusing with complete understanding and by touching patting and taking the hand of the other person etc,Happy
i felt fear of the purest kind after a car accident the incident and images of horror kept coming back to my mind i wondered what could have happened to my sister my friend and me though nothing very serious actually happened,Fear
two boys whom i know were telling me in an indecent manner how they had teased a young and shy girl i know they had despised her conviction scorned and touched her i got very angry and did not try to conceal it and gave it back to them,Angry
my sweetheart left me or rather we decided to break it off by mutual consent the consequences were unrestrained weeping feelings of loneliness hopelessness and disconsolation i felt that i should find a friend to talk to joyfully and to forget,Sad
out of sheer curiosity i went to see a pornographic movie in copenhagen the room was full of men who panted and masturbated very disgusting,Disgust
after having quarelled unnecessarily and without any reason and having been stupidly cross in every way,Sad
do not know,Sad
forced to fill in a questionnaire,Sad
when i won a tennis match,Happy
when my dog ran out on thin ice last spring,Fear
when my tennis match was interrupted because a kid cycled right into the court,Angry
no response,Sad
no response,Disgust
no response,Sad
no response,Sad
celebrations on the graduation day with the orchestra playing in the garden i am a part of this orchestra,Happy
risk of being involved in a fight after a party,Fear
i had a very heavy work load and two colleagues whom i have nothing against disturbed me by terror ringing ie continously interrupting me by telephoning,Angry
after an exam which i failed,Sad
normally i do not feel disgusted,Disgust
when i overtook a car on the mainroad misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver we could have collided and i had an acquaintance in the car with me,Sad
i saw a neighbour from the same appartment block as me lying on the road he could have been injured or ill i kept metres away and did not go to help him,Sad
when i met an old schhol friend school love who works in skvde,Happy
when i was cycling to school i nearly got knocked down by a car which overtook me too closely did not give me any swerving space,Fear
when i was deputy manager during the summer certain deputies took liberties more than what was normal,Angry
when i realized that my girlfriend whom i like and i were going to separate,Sad
dog dirt which thaws in the spring,Disgust
when i forgot my mothers birthday,Sad
can not think of anything just now,Sad
passed the last exam,Happy
was nearly knocked down by a car,Fear
i reached the bus stop and realized that i had forgotten my bus pass,Angry
my current work load is too much the feeling comes back from time to time,Sad
can not think of any situation,Disgust
no response,Sad
no response,Sad
when my one year old son gives me a spontaneous kiss,Happy
when someone close to me is travelling by car and is delayed,Fear
when someone does something wrong which affects me negatively,Angry
when i think about my parents getting old,Sad
can not remember,Disgust
no response,Sad
i do not have the time for other peoples problems my motherinlaw is sometimes depressed and i do not have the time the desire or the strength to help,Sad
an excolleague asked me if i was interested in working in their accounts bureau they needed clever people and he had immediately thought of me,Happy
i was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me,Fear
i saw a report on tv news on apartheid in south africa,Angry
no response,Sad
no response,Disgust
no response,Sad
no response,Sad
when my girlfriend became pregnant,Happy
when i nearly collided with another car,Fear
the time when someone let the air out of the tyres of my cycle,Angry
when i read a lot and did not remember anything,Sad
no response,Disgust
no response,Sad
the time that i had to put my dog to sleep,Sad
no response,Happy
no response,Fear
no response,Angry
long illness,Sad
when i passed an exam,Happy
when i was travelling by tram i tripped and fell against the door i thought that i was going to fall out,Fear
when i missed the tram after having run for it,Angry
the inability to read a book at college,Sad
if a guy one is not interested in makes advances,Disgust
i drink wine too often,Sad
i do not study enough as i do not understand it properly,Sad
i worked at a lawyers office during summer and i got a very good reference from him,Happy
i had been watching a triller a dark night in the country and i had to go the outside toilet on my own,Fear
when i am accused of something i have not done i get unbelievably angry,Angry
when i began to read a thick book which i had a limited time to read also when i have a lot of work to do and i cannot keep up,Sad
someone vomited on the street,Disgust
i can not think of any incident when i have felt very ashamed there are small incidents that i am ashamed of for instance not sending money to the children in ethiopia,Sad
i had lunch with my exboyfriend and did not mention it to my fiancee i felt guilty despite the fact that i felt nothing for my exboyfriend,Sad
when i was finally qualified for my profession,Happy
someone attacked me with a knife,Fear
someone drove into my car and then denied that it had happened,Angry
when i was told that my friends wife had cancer,Sad
when i saw a dog which had been knocked down by a car,Disgust
when i boxed my childs ears,Sad
when i was fined for speeding,Sad
i stopped working had a boring job,Happy
i was going home by car late one night when it was cold dark and windy i became rather panicky on the way to my house,Fear
quarrel in the family,Angry
when i am alone in a room with no contact with anyone loneliness drains me,Sad
when i was on holiday someone vomited in front of me,Disgust
emptied a bucket of water in a hospital,Sad
when i feigned sick leave from work,Sad
when i get a hug from someone i love,Happy
i was driving very fast on a small road and i met an oncoming car in a right handed bend the other driver was on his own side of the road and i had to skid out of it to avoid a collision it was dark,Fear
my car had been towed away by the traffic police because it had been wrongly parked however the sign had been put up only after i had already parked,Angry
after an operation i had to stay in bed for a long time,Sad
i was forced to stay in the canteen and eat the food that i had not asked for but got it anyway,Disgust
when i did not buy what i had promised to,Sad
by mistake i took a book from the library which was not supposed to be loaned out,Sad
when i won an unexpected sum of money,Happy
my year old daughter disappeared in a moment of inattention i was responsible for her,Fear
a colleague asked me for some advice and as he did not have enough confidence in me he asked a third person,Angry
i wanted to be pregnant and did not succeed so i was depressed at every menstruation,Sad
in a warm bus full of people someone vomited and the whole bus stank,Disgust
i complained about a colleagues behaviour as she goes back on her word is often absent and is irresponsible i found out that she was an alcoholic and was trying to fight againt her addiction,Sad
i spoke to my mother on the phone she had skin cancer and was waiting to be operated i forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing,Sad
when i was at a party i met an old friend from an adult education course we had not met for years but had both thought a lot about each other a wonderful experience,Happy
when i was cycling through the park late one night two people jumped out of the woods and tried to stop me there were shouting something at the same time,Fear
when close relatives tried to dissuade me from studying psychology because of its low status,Angry
i had a long discussion on politics with an acquaintance he was more knowledgeable than me and i failed to explain my point of view and was misunderstood so i felt depressed and left,Sad
when i read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious,Disgust
my mother revealed personal details about me and the negative aspects of my character to other people when i was present but unable to defend myself,Sad
i was unfaithful to my partner once when he was working abroad for a long period,Sad
when i recently got an appartment in central gottenburg,Happy
when i saw a large spider crawling up the wall,Fear
my employer took too many aspirins for a bad back and also drank an enormous amount of spirit this was dangerous and he did not understand that he had done anything wrong,Angry
when i left new york and all my family and my friends behind me,Sad
when i slept with a guy because my best friend wanted me to he had never had intercourse with anyone and had a terrible complex about it,Disgust
when i dated a close girlfriends boyfriend a few times he told me that it was over between them and i accepted it when she found out she finished our friendship,Sad
when i broke off with my boyfriend after three years it was quite unexpected for him and there was no particular reason for the break up such as someone else,Sad
when my son returned from mountaineering healthy in body and soul,Happy
when one meets new people with whom one is forced to collaborate with,Fear
the sports fishermen who catch gulls instead of fish with their hooks it is often a mistake but it makes me angry,Angry
i feel sad about an event i can not influence,Sad
when a member of the family complains about the food that is served it disgusts me,Disgust
cannot recall any incident when i felt shame,Sad
i have chosen to put my son in a private school were the examination marks are low every time that he gives me his term results i am left with a sense of guilt,Sad
when i was informed that i had been accepted as a student of psychology,Happy
when i was in a little fishing boat and we ran into hard weather in the open sea,Fear
when i found out that the guy i was dating at a particular time had a steady relationship going on with someone else for a long time,Angry
i felt sad and depressed when i heard that our cat had died,Sad
when i was working as a nurse in a mental hospital a patient ate up the contents of another patients spitoon,Disgust
at primary school when i vomited in front of others in the middle of a lesson,Sad
i arrived an hour late for an important meeting i had misunderstood the time,Sad
when i was acceptted as a student of psychology,Happy
when my son has a pain in his leg for no apparent reason,Fear
when after a week at school a teacher sent a note home saying that my son was inattentive and unable to do his lessons,Angry
when i thought that it was going to be impossible for me to start studying due to wrong information from the student advisor,Sad
at a certain persons lack of cleanliness at home and personally,Disgust
when i made the same mistake that i had accused someone else of and this was obvious to a third pereson,Sad
when i lost something that was valuable to my sister,Sad
when my son was born,Happy
when i nearly drowned in icy water wearing ice skates it was difficult to get out,Fear
when i was pointed out as a problem child in primary school and my mother took the teachers point of view,Angry
when i was accused of neglecting work for the wrong reasons,Sad
my parents attitude towards each other when they should become reconciled despite my fathers longtime addiction,Disgust
when i was caught stealing money from my father,Sad
i stole a coconut cake from a reception table and when i put in my mouth i realized that the host was watching me,Sad
when after months of national service i was downgraded and did not have to do the remaining months,Happy
when i was reprimanded by the manager of the hotel where i worked during autumn,Fear
when my parents drove me to a nearby place and went home immediately instead of waiting a few hours they could have easily waited,Angry
when my exgirlfriend and i discovered that there was a certain risk of her being pregnant,Sad
when i was about to clean the draining board and saw it looked underneath the sink i live in a students hostel,Disgust
when my mother caught me masturbating,Sad
as the only person in my family into academics i ought to have looked after my younger and only sister better with respect to her education and life experiences,Sad
when my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday,Happy
slept in a chapel and in the middle of the night i realized that there was someeone else in the chapel i never discovered who it was and why he was there,Fear
when we were in high school a few guys sometimes provoked a friend of mine they called her a pig and then grunted this irritated most of the girls once one of the girls got angry at my friend and said something nasty and this made me terribly angry,Angry
i talked to my boyfriend on the phone when i was in high spirits and had a lot to tell him i had been looking forward to this conversation and he did not listen to me to the extent that i had anticipated,Sad
a mother who shouts at her child for nothing,Disgust
when i complained to my mother about how untidy the kitchen loooked she boxed my ears this had never happened before,Sad
as i could not be home before midnight i called home at and asked them to leave the door open so that i could get in i actually woke up the whole family by calling them so late my mother could not go back to sleep besides she had a conference the next day and really needed to sleep,Sad
when i got through the first day here at the department,Happy
when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic,Fear
when my boyfriend sat up half the night playing computer games with a friend,Angry
when i had to leave my mother and my sister after a weeks visit,Sad
when i saw a big spider from very close,Disgust
when i asked a friend to return the money that i had loaned her and then remembered that she had repayed me in several ways,Sad
when one of my parents insinuates something about the other they are divorced,Sad
when i was asked to be a childs godmother,Happy
on the way down a ski slope which was difficult and steep,Fear
when my mother interfered in my life,Angry
when i was left alone one weekend without being prepared for it,Sad
the first time that i saw a surgeon cut off a leg and put it in a black rubbish bag,Disgust
when i forgot about a meeting at work,Sad
when i demand too much from my friends,Sad
when my husband suddenly came to see me at my new job and brought some flowers and cake with him,Happy
when i was nearly attackad by a man who had been chasing me,Fear
when my father asked me if i was a communist at the same time he made it clear that i should no longer see myself as his daughter,Angry
when i applied for a job which i thought i had a good chance of getting i was not even granted an interview and did not get the job,Sad
tv features showing the violation of defenceless people,Disgust
when i as a child of or i was playing doctor with the neighbours boys their mother caught us,Sad
when my husband talked about the restrictions he will have to accept in his life to make our marriage work i felt that it was directed at me as it was me who had demanded the changes we were with a marriage counsellor then,Sad
when we were able to afford a new sofa a leather one which cost sek i had waited for it for years,Happy
vertigo standing on a ladder and painting the house,Fear
when my boss enrolled in a course to satisfy his own ends to trample on his associates i have the misfortune to have one of my superiors in my course,Angry
when i argue with my mother about the way she treats her two children differently,Sad
spit and vomit,Disgust
spots on the seat covers of my husbands car,Sad
not speaking to my sisterinlaw due to lack of interest in a relationship on my side,Sad
when i recently managed to get my first consulting assignment myself ie on my own initiative,Happy
i was within a hairs breadth of knocking down a drunkard who suddenly ran into the street the fear came later when i realized what could have happened,Fear
when my friend as usual forgot the tickets at home for a performance we missed it,Angry
the elections of and the thought of what a social democrat and communist majority could achieve especially worker share funds and its extension,Sad
a study visit to a chicken factory the butchery the smell the environment and the noise,Disgust
confession to my parents about my involvement in a moped theft,Sad
no answer as i see very little difference between shame and guilt therefore see answer for shame,Sad
when i was appointed to position of trust in a group set up to change the working environment,Happy
i was alone in a cottage i often stay in i was woken up by a rustling sound in the middle of the night,Fear
when i tried to explain to a plumber face to face that the toilet was broken and he did not believe it it had been mended ten times,Angry
when the result of a project work was treated nonchalantly intead of being criticized by the teacher,Sad
when programmes on violence or pornography are shown on tv,Disgust
when i talked maliciously about a colleague at work to someone else immediately afterwards i felt ashamed,Sad
when i decided to take a week s holiday without consulting the family first,Sad
after my girl and i talked things over our relationship changed and became positive a diificult time turned into pleasant one,Happy
when we could not land our plane and we knew that the fuel was running out bad weather had already frightened us,Fear
when i read about reagans tactical decision concerning the south african boycott,Angry
when my half brother became seriously ill with cancer and died later,Sad
a film were a woman was attacked and raped one did not see the worst but it had the desired effect very strong,Disgust
i made a comment and it was interpreted completely differently from what i had meant when i said it i realized how my mother had understood it,Sad
i had promised to visit my girlfriend but for different reasons could not make it i rang up later to tell her that i could not come,Sad
when i was offered a high position of trust which i later accepted,Happy
i had the window open and the door was shut so that the kitten would not go out my partner came in and started talking about something and i forgot about the window and suddenly i saw the kitten hanging from the window frame i was rigid with fright till i got hold of her,Fear
some noisy guests arrived at the hotel i had been slightly irritated earlier at night when i was trying to sleep they were having a party so i went and yelled at them i wanted to sleep as i had to get up early the next day,Angry
when i was told that i had not been successful in getting the job i had been expecting i was sure that i was sufficiently qualified,Sad
when my cat vomited and a worm came out which was still alive i was forced to wipe it up,Disgust
when i was a child it was found out that i had taken off my clothes outdoors it was summer and my friend and i were out in the woods it had felt exciting at that time my parents discovered that my trousers were back to front and i felt ashamed,Sad
when i stole money from my mother and she asked me later if i was responsible i never admitted it,Sad
cycling in the spring sunshine gives me such delight happiness is to be healthy my wonderful finance simply being here on earth,Happy
when my relationship with my family is very poor i often fear being excluded from the group a fear which is stronger in situations when an argument is on hand,Fear
recently when my sister who is four years younger than me and very spoiled shouted at my mother for no apparent reason the heartbroken expression on my mothers face made me feel very angry,Angry
when i watched the tv programme called the living planet and saw the far reaching environmental destruction caused by man,Sad
disgust is a feeling that i have never experienced with peoplie but on the other hand it has been with repulsive animals ie snakes on tv,Disgust
when relatives have acted strangely and unfriendly towards me,Sad
when due to hunger and tiredness i became generally irritated with my fiancee and made cutting remarks which really hurt him later i realized that my unfounded irritation had hurt the person i love most on earth,Sad
on a boat trip to denmark of us had a lot of fun and we spent sek each on one armed bandits and against all odds we won the jackpot of sek,Happy
a rainy day i was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks i somersaulted but had no injuries,Fear
on the way home from marstrand i was driving behind my fathers car another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar the other car drove off without even seeing what had happened,Angry
my girlfriend who had spent months abroad broke off our relationship by letter,Sad
at the police centre a man between was brought in he was very drunk and in all likelihood had not slept indoors for a long time and had relieved himself in his trousers,Disgust
a customer at the shop where i worked came in and asked if the goods that he had ordered had arrived i had totally forgotten about this order and i tried to offer weak excuses,Sad
i was years old when i hid the bicycle keys of a not very good friend after a few hours i pretended that i had found it,Sad
when i was at the endofterm party last week and had fun was happy and sang and drank only soft drinks it is possible to have a good time without alcohol,Happy
last summer i was walking along the beach in a bikini and an awful man came cycling after me he was shouting and i ran as fast as my legs could carry me,Fear
in a course i thought that i deserved good marks but i only got ordinary marks with no justification as to why i was given these marks,Angry
when i crashed my car and it had to be scrapped then it was my fault and i feel depressed as i miss the car,Sad
i had some sort of a stomach virus last week and i vomited in college in the morning then in the cake shop three times during the trip home and again when i got home,Disgust
